date,day,eventfromtime,dayname,entry,shoppingtime
19/02/2023,Sun,9:00:00,Sun,377,37.84
19/02/2023,Sun,10:00:00,Sun,603,53.6
19/02/2023,Sun,11:00:00,Sun,536,72.14
19/02/2023,Sun,12:00:00,Sun,516,90.94
19/02/2023,Sun,13:00:00,Sun,562,100.43
19/02/2023,Sun,14:00:00,Sun,545,105
19/02/2023,Sun,15:00:00,Sun,533,109.89
19/02/2023,Sun,16:00:00,Sun,456,112.66
19/02/2023,Sun,17:00:00,Sun,536,116.22
19/02/2023,Sun,18:00:00,Sun,490,114.72
19/02/2023,Sun,19:00:00,Sun,404,110.94
19/02/2023,Sun,20:00:00,Sun,332,96.47
19/02/2023,Sun,21:00:00,Sun,357,64.71
19/02/2023,Sun,22:00:00,Sun,235,27.28
19/02/2023,Sun,23:00:00,Sun,141,0
20/02/2023,Mon,0:00:00,Mon,57,0
20/02/2023,Mon,1:00:00,Mon,11,0
20/02/2023,Mon,2:00:00,Mon,0,0
20/02/2023,Mon,3:00:00,Mon,0,0
20/02/2023,Mon,4:00:00,Mon,3,0
20/02/2023,Mon,5:00:00,Mon,0,0
20/02/2023,Mon,6:00:00,Mon,1,0
20/02/2023,Mon,7:00:00,Mon,75,232.75
20/02/2023,Mon,8:00:00,Mon,215,115.54
20/02/2023,Mon,9:00:00,Mon,398,76.46
20/02/2023,Mon,10:00:00,Mon,535,74.54
20/02/2023,Mon,11:00:00,Mon,533,87.82
20/02/2023,Mon,12:00:00,Mon,513,98.65
20/02/2023,Mon,13:00:00,Mon,554,107.93
20/02/2023,Mon,14:00:00,Mon,458,116.14
20/02/2023,Mon,15:00:00,Mon,513,120.94
20/02/2023,Mon,16:00:00,Mon,552,116.56
20/02/2023,Mon,17:00:00,Mon,500,116.17
20/02/2023,Mon,18:00:00,Mon,499,117.02
20/02/2023,Mon,19:00:00,Mon,427,110.84
20/02/2023,Mon,20:00:00,Mon,329,105.81
20/02/2023,Mon,21:00:00,Mon,234,96.08
20/02/2023,Mon,22:00:00,Mon,134,71.81
20/02/2023,Mon,23:00:00,Mon,79,0
21/02/2023,Tue,0:00:00,Tue,66,0
21/02/2023,Tue,1:00:00,Tue,3,0
21/02/2023,Tue,2:00:00,Tue,0,0
21/02/2023,Tue,3:00:00,Tue,1,0
21/02/2023,Tue,4:00:00,Tue,3,0
21/02/2023,Tue,5:00:00,Tue,1,0
21/02/2023,Tue,6:00:00,Tue,12,0
21/02/2023,Tue,7:00:00,Tue,80,122.87
21/02/2023,Tue,8:00:00,Tue,330,54.99
21/02/2023,Tue,9:00:00,Tue,439,57.53
21/02/2023,Tue,10:00:00,Tue,534,71.36
21/02/2023,Tue,11:00:00,Tue,487,92.55
21/02/2023,Tue,12:00:00,Tue,500,110.52
21/02/2023,Tue,13:00:00,Tue,440,122.97
21/02/2023,Tue,14:00:00,Tue,476,128.43
21/02/2023,Tue,15:00:00,Tue,508,124.21
21/02/2023,Tue,16:00:00,Tue,450,125.23
21/02/2023,Tue,17:00:00,Tue,508,123.05
21/02/2023,Tue,18:00:00,Tue,506,118.63
21/02/2023,Tue,19:00:00,Tue,462,109.66
21/02/2023,Tue,20:00:00,Tue,374,97.25
21/02/2023,Tue,21:00:00,Tue,280,79.39
21/02/2023,Tue,22:00:00,Tue,167,22.73
21/02/2023,Tue,23:00:00,Tue,90,0
22/02/2023,Wed,0:00:00,Wed,23,0
22/02/2023,Wed,1:00:00,Wed,4,0
22/02/2023,Wed,2:00:00,Wed,1,0
22/02/2023,Wed,3:00:00,Wed,1,0
22/02/2023,Wed,4:00:00,Wed,1,0
22/02/2023,Wed,5:00:00,Wed,3,0
22/02/2023,Wed,6:00:00,Wed,4,0
22/02/2023,Wed,7:00:00,Wed,110,10.14
22/02/2023,Wed,8:00:00,Wed,297,27.34
22/02/2023,Wed,9:00:00,Wed,459,44.98
22/02/2023,Wed,10:00:00,Wed,497,65.89
22/02/2023,Wed,11:00:00,Wed,612,81.32
22/02/2023,Wed,12:00:00,Wed,608,94.94
22/02/2023,Wed,13:00:00,Wed,521,108.52
22/02/2023,Wed,14:00:00,Wed,517,123.79
22/02/2023,Wed,15:00:00,Wed,461,129.91
22/02/2023,Wed,16:00:00,Wed,560,134.41
22/02/2023,Wed,17:00:00,Wed,561,130.47
22/02/2023,Wed,18:00:00,Wed,505,132.14
22/02/2023,Wed,19:00:00,Wed,461,133.06
22/02/2023,Wed,20:00:00,Wed,380,129.73
22/02/2023,Wed,21:00:00,Wed,161,0
22/02/2023,Wed,22:00:00,Wed,50,71.24
22/02/2023,Wed,23:00:00,Wed,122,0
23/02/2023,Thu,0:00:00,Thu,73,0
23/02/2023,Thu,1:00:00,Thu,11,0
23/02/2023,Thu,2:00:00,Thu,8,0
23/02/2023,Thu,3:00:00,Thu,0,0
23/02/2023,Thu,4:00:00,Thu,0,0
23/02/2023,Thu,5:00:00,Thu,0,0
23/02/2023,Thu,6:00:00,Thu,6,0
23/02/2023,Thu,7:00:00,Thu,63,198.09
23/02/2023,Thu,8:00:00,Thu,396,72.61
23/02/2023,Thu,9:00:00,Thu,527,59.99
23/02/2023,Thu,10:00:00,Thu,664,71.86
23/02/2023,Thu,11:00:00,Thu,599,88.86
23/02/2023,Thu,12:00:00,Thu,692,103.58
23/02/2023,Thu,13:00:00,Thu,678,114.16
23/02/2023,Thu,14:00:00,Thu,521,128.81
23/02/2023,Thu,15:00:00,Thu,512,137.92
